Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Days Gain,Days Gain %,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
BHAAIR,BHARTI AIRTEL LTD,INE397D01024,50,492.19,434.05,- 0.08,24609.50,21702.50,17.50,124014.29,0.00,-2907.00,(11.81),
HCLTEC,HCL TECHNOLOGIES LIMITED,INE860A01027,62,766.82,847.80,- 0.55,47542.84,52563.60,288.30,18232.26,0.00,5020.76,10.56,
HDFBAN,HDFC BANK LIMITED,INE040A01034,27,1072.22,1210.90,- 2.01,28949.94,32694.30,672.30,4863.05,0.00,3744.36,12.93,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,578,31.12,30.60,- 2.70,17987.36,17686.80,491.30,3600.00,0.00,-300.56,(1.67),
SBICAR,SBI CARDS AND PAYMENT SERV LTD,INE018E01016,28,752.09,793.95,- 1.65,21058.52,22230.60,372.40,5969.55,0.00,1172.08,5.57,
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,14,534.56,474.50,- 2.06,7483.84,6643.00,140.00,4745.00,0.00,-840.84,(11.24),
